symbol,date,open,high,low,close,change,changePercent,label
MSFT,2024-04-01,423.95,427.89,422.22,424.57,0.62,0.14624,"April 01, 24"
MSFT,2024-03-28,420.96,421.87,419.12,420.72,-0.24,-0.05701254,"March 28, 24"
MSFT,2024-03-27,424.44,424.45,419.01,421.43,-3.01,-0.70917,"March 27, 24"
MSFT,2024-03-26,425.61,425.99,421.35,421.65,-3.96,-0.93043,"March 26, 24"
MSFT,2024-03-25,425.24,427.41,421.61,422.86,-2.38,-0.55968,"March 25, 24"
MSFT,2024-03-22,429.7,429.86,426.07,428.74,-0.96,-0.22341,"March 22, 24"
MSFT,2024-03-21,429.83,430.82,427.16,429.37,-0.46,-0.10702,"March 21, 24"
MSFT,2024-03-20,422,425.96,420.66,425.23,3.23,0.7654,"March 20, 24"
MSFT,2024-03-19,417.83,421.67,415.55,421.41,3.58,0.85681,"March 19, 24"
MSFT,2024-03-18,414.25,420.73,413.78,417.32,3.07,0.7411,"March 18, 24"
MSFT,2024-03-15,419.29,422.6,412.79,416.42,-2.87,-0.68449,"March 15, 24"
MSFT,2024-03-14,420.24,427.82,417.99,425.22,4.98,1.19,"March 14, 24"
MSFT,2024-03-13,418.1,418.18,411.45,415.1,-3,-0.71753,"March 13, 24"
MSFT,2024-03-12,407.62,415.57,406.79,415.28,7.66,1.88,"March 12, 24"
MSFT,2024-03-11,403.76,405.68,401.26,404.52,0.758,0.18823,"March 11, 24"
MSFT,2024-03-08,407.96,410.42,404.33,406.22,-1.74,-0.42651,"March 08, 24"
MSFT,2024-03-07,406.12,409.78,402.24,409.14,3.02,0.74362,"March 07, 24"
MSFT,2024-03-06,402.97,405.16,398.39,402.09,-0.88,-0.21838,"March 06, 24"
MSFT,2024-03-05,413.96,414.25,400.64,402.65,-11.31,-2.73,"March 05, 24"
MSFT,2024-03-04,413.44,417.35,412.32,414.92,1.48,0.35797,"March 04, 24"
MSFT,2024-03-01,411.27,415.87,410.88,415.5,4.23,1.03,"March 01, 24"
MSFT,2024-02-29,408.64,414.2,405.92,413.64,5,1.22,"February 29, 24"
MSFT,2024-02-28,408.18,409.3,405.32,407.72,-0.455,-0.1127,"February 28, 24"
MSFT,2024-02-27,407.99,408.32,403.85,407.48,-0.51,-0.125,"February 27, 24"
MSFT,2024-02-26,411.46,412.16,407.36,407.54,-3.91,-0.95271,"February 26, 24"
MSFT,2024-02-23,415.67,415.86,408.97,410.34,-5.33,-1.28,"February 23, 24"
MSFT,2024-02-22,410.19,412.83,408.57,411.65,1.46,0.35593,"February 22, 24"
MSFT,2024-02-21,400.17,402.29,397.22,402.18,2.01,0.50229,"February 21, 24"
MSFT,2024-02-20,403.24,404.49,398.01,402.79,-0.45,-0.1116,"February 20, 24"
MSFT,2024-02-16,407.96,408.29,403.44,404.06,-3.9,-0.95598,"February 16, 24"
MSFT,2024-02-15,408.14,409.13,404.29,406.56,-1.58,-0.38712,"February 15, 24"
MSFT,2024-02-14,408.07,409.84,404.57,409.49,1.42,0.34798,"February 14, 24"
MSFT,2024-02-13,404.94,410.07,403.39,406.32,1.38,0.34079,"February 13, 24"
MSFT,2024-02-12,420.56,420.74,414.75,415.26,-5.3,-1.26,"February 12, 24"
MSFT,2024-02-09,415.25,420.82,415.09,420.55,5.3,1.28,"February 09, 24"
MSFT,2024-02-08,414.05,415.56,412.53,414.11,0.06,0.014491,"February 08, 24"
MSFT,2024-02-07,407.44,414.3,407.4,414.05,6.61,1.62,"February 07, 24"
MSFT,2024-02-06,405.88,407.97,402.91,405.49,-0.39,-0.09608751,"February 06, 24"
MSFT,2024-02-05,409.9,411.16,403.99,405.65,-4.25,-1.04,"February 05, 24"
MSFT,2024-02-02,403.81,412.65,403.56,411.22,7.41,1.84,"February 02, 24"
MSFT,2024-02-01,401.83,408,401.8,403.78,1.95,0.48528,"February 01, 24"
MSFT,2024-01-31,406.96,415.32,397.21,397.58,-9.38,-2.3,"January 31, 24"
MSFT,2024-01-30,412.26,413.05,406.45,408.59,-3.67,-0.89021,"January 30, 24"
MSFT,2024-01-29,406.06,409.98,404.33,409.72,3.66,0.90134,"January 29, 24"
MSFT,2024-01-26,404.37,406.17,402.43,403.93,-0.44,-0.10881,"January 26, 24"
MSFT,2024-01-25,404.32,407.01,402.53,404.87,0.55,0.13603,"January 25, 24"
MSFT,2024-01-24,401.54,405.63,400.45,402.56,1.02,0.25402,"January 24, 24"
MSFT,2024-01-23,395.75,399.38,393.93,398.9,3.15,0.79596,"January 23, 24"
MSFT,2024-01-22,400.02,400.62,393.59,396.51,-3.51,-0.87746,"January 22, 24"
MSFT,2024-01-19,395.76,398.67,393.5,398.67,2.91,0.73529,"January 19, 24"
MSFT,2024-01-18,391.72,393.99,390.12,393.87,2.15,0.54886,"January 18, 24"
MSFT,2024-01-17,387.98,390.11,384.81,389.47,1.49,0.38404,"January 17, 24"
MSFT,2024-01-16,393.66,394.03,387.62,390.27,-3.39,-0.86115,"January 16, 24"
MSFT,2024-01-12,385.49,388.68,384.65,388.47,2.98,0.77304,"January 12, 24"
MSFT,2024-01-11,386,390.68,380.38,384.63,-1.37,-0.35492,"January 11, 24"
MSFT,2024-01-10,376.37,384.17,376.32,382.77,6.4,1.7,"January 10, 24"
MSFT,2024-01-09,372.01,375.99,371.19,375.79,3.78,1.02,"January 09, 24"
MSFT,2024-01-08,369.3,375.2,369.01,374.69,5.39,1.46,"January 08, 24"
MSFT,2024-01-05,368.97,372.06,366.5,367.75,-1.22,-0.33065,"January 05, 24"
MSFT,2024-01-04,370.67,373.1,367.17,367.94,-2.73,-0.7365,"January 04, 24"
MSFT,2024-01-03,369.01,373.26,368.51,370.6,1.59,0.43088,"January 03, 24"
MSFT,2024-01-02,373.86,375.9,366.77,370.87,-2.99,-0.79976,"January 02, 24"
MSFT,2023-12-29,376,377.16,373.48,376.04,0.04,0.0106383,"December 29, 23"
MSFT,2023-12-28,375.37,376.46,374.16,375.28,-0.09,-0.02397634,"December 28, 23"
MSFT,2023-12-27,373.69,375.06,372.81,374.07,0.38,0.10169,"December 27, 23"
MSFT,2023-12-26,375,376.94,373.5,374.66,-0.34,-0.09066667,"December 26, 23"
MSFT,2023-12-22,373.68,375.18,372.71,374.58,0.9,0.24085,"December 22, 23"
MSFT,2023-12-21,372.56,374.41,370.04,373.54,0.98,0.26304,"December 21, 23"
MSFT,2023-12-20,375,376.03,370.53,370.62,-4.38,-1.17,"December 20, 23"
MSFT,2023-12-19,371.49,373.26,369.84,373.26,1.77,0.47646,"December 19, 23"
MSFT,2023-12-18,369.45,373,368.68,372.65,3.2,0.86615,"December 18, 23"
MSFT,2023-12-15,366.85,372.4,366.28,370.73,3.88,1.06,"December 15, 23"
MSFT,2023-12-14,373.31,373.76,364.13,365.93,-7.38,-1.98,"December 14, 23"
MSFT,2023-12-13,376.02,377.64,370.77,374.37,-1.65,-0.43881,"December 13, 23"
MSFT,2023-12-12,370.85,374.42,370.46,374.38,3.53,0.95187,"December 12, 23"
MSFT,2023-12-11,368.48,371.6,366.1,371.3,2.82,0.76531,"December 11, 23"
